creator,url,distributors,uploads,median_outlier,max_outlier
Benjamin-roct,https://www.youtube.com/@Benjamin-roct,1,2,3.03,3.03
SBRRCTRUCK,https://www.youtube.com/@SBRRCTRUCK,1,1,3.02,3.02
AndrewCamarata,https://www.youtube.com/@AndrewCamarata,1,4,1.83,2.87
AustinCoulson,https://www.youtube.com/@AustinCoulson,1,1,2.75,2.75
buildingskill9353,https://www.youtube.com/@buildingskill9353,1,1,2.72,2.72
DailyBergstrom,https://www.youtube.com/@DailyBergstrom,1,1,2.71,2.71
ChayDenne,https://www.youtube.com/@ChayDenne,1,1,2.64,2.64
NHẾT,https://www.youtube.com/@NHẾT,1,1,2.56,2.56
restorationstools6447,https://www.youtube.com/@restorationstools6447,1,1,2.55,2.55
kandowild,https://www.youtube.com/@kandowild,1,1,2.46,2.46
phungthienthanh8868,https://www.youtube.com/@phungthienthanh8868,1,1,2.42,2.42
European,https://www.youtube.com/@European,1,1,2.4,2.4
bywoodman,https://www.youtube.com/@bywoodman,1,1,2.4,2.4
syromyatnikov,https://www.youtube.com/@syromyatnikov,1,2,2.33,2.33
AlexanderBushcraft776,https://www.youtube.com/@AlexanderBushcraft776,1,1,2.33,2.33
