creator,url,odds_top,best_strength,confirmations,distributors,best_outlier,best_reach,best_channel,best_channel_subs,best_title,evidence,peak_outlier_any,peak_reach_any,last_seen
doracamperstudio,https://www.youtube.com/@doracamperstudio,0.8928,0.893,0,1,44.6,581765,TTI Build Stories ,1800000,Man Built a FULL HOUSE Inside a Van… And It’s Unreal! 😳. ( By ‪@doracamperstudio  ),débil,44.6,581765,2026-06-27
ben-kilner,https://www.youtube.com/@ben-kilner,0.8903,0.817,1,3,5.8,1380773,Epic Timeline,35300,Part 1- 100 Years of Forgotten Memories — I Revived This Abandoned Workshop 🏭✨  By @ben-kilner,firme,5.8,1380773,2026-08-08
DawidOutdoorAdventures,https://www.youtube.com/@DawidOutdoorAdventures,0.8885,0.69,2,3,33.3,43741,SwiftBuild,4010,Man Makes Mountain Survival  EASY with Stone Fire Place. Start to finish by@DawidOutdoorAdventures,firme,68.9,54191,2026-04-24
ShoyanJapaneseCarpenter,https://www.youtube.com/@ShoyanJapaneseCarpenter,0.8884,0.888,0,1,30.5,537276,Rustic Roots Build,12400,Carpenter Builds an Incredible Japanese Wooden House | Start to Finish @ShoyanJapaneseCarpenter,débil,30.5,537276,2026-07-06
lesnoy,https://www.youtube.com/@lesnoy,0.888,0.813,1,16,13.2,225109,an tinh,6810,Part 2 - An 18 Year Old Dream and a Wooden House Built from Old Pallets | By @lesnoy,firme,456.3,2242273,2026-06-06
ShevaBushcraft,https://www.youtube.com/@ShevaBushcraft,0.8876,0.813,1,4,5.6,3542621,TK Maker,25100,A Freezing Winter Night in an Abandoned Hunter's Cabin in the Forest 🥶🔥🌲 | By @ShevaBushcraft,firme,5.8,3542621,2026-07-25
kbuild,https://www.youtube.com/@kbuild,0.8867,0.811,1,9,5.4,992309,Build Maker,46200,Building an Incredible Luxury Dream Mansion from the Ground Up | Full Build by @kbuild,firme,26.3,992309,2026-08-11
thompsonscabin,https://www.youtube.com/@thompsonscabin,0.8835,0.884,0,1,12.5,1106705,Maker World,19200,Man Builds Incredible Off-Grid Cabin Alone with EZ Log Cabin Kit | Full Build by @thompsonscabin,débil,12.5,1106705,2026-08-09
murattuncer,https://www.youtube.com/@murattuncer,0.8824,0.804,1,9,55.2,203247,Namtum Makers,1060,COMPLETE DIY Camper Van CONVERSION  From Start to Finish @murattuncer,firme,55.2,203247,2026-05-10
aboulderlifeoffgrid,https://www.youtube.com/@aboulderlifeoffgrid,0.8809,0.802,1,3,5.0,439091,Maker World,19200,Couple Builds Amazing Off-Grid Dream Home for Their Family | Start to Finish@aboulderlifeoffgrid,firme,5.0,439091,2026-07-18
osbushcraft,https://www.youtube.com/@osbushcraft,0.8808,0.801,1,4,9.2,192061,MrDuck104,406000,Man Builds Cozy Winter Shelter...(@osbushcraft),firme,9.2,192061,2026-05-25
trieuthihoa,https://www.youtube.com/@trieuthihoa,0.8802,0.88,0,2,12.0,1279044,Innovative Tech World,37300,No one believed the young couple could build a two-story floating house in 180 days by@trieuthihoa,débil,12.0,1279044,2026-04-09
Damarsito,https://www.youtube.com/@Damarsito,0.8797,0.88,0,1,75.9,505835,Smart Fox,85100,Restoring an 1880s Old House | Full Timelapse from Start to Finish by @Damarsito,débil,75.9,505835,2026-02-19
manmadecrafts,https://www.youtube.com/@manmadecrafts,0.8726,0.873,0,1,227.3,456332,Clean & Restore Tech,3380,Turning Dead Space Into a Tiny Office Under the Stairs | By @manmadecrafts,débil,227.3,456332,2026-02-27
RamyRC,https://www.youtube.com/@RamyRC,0.8707,0.784,1,6,15.2,153566,Quantum Build Studio,18400,Man Builds a Giant RC HONDA JET AH-420 full composite | Start to Finish Project by @RamyRC,firme,15.2,153566,2026-07-17
Outthegateoffroadnz,https://www.youtube.com/@Outthegateoffroadnz,0.8688,0.869,0,3,10.2,520433,Life Rhythm TV,4350,A couple transformed a Unimog 4x4 into their dream mobile home | performed by@Outthegateoffroadnz,media,10.2,581935,2026-07-18
nikospropertyshow,https://www.youtube.com/@nikospropertyshow,0.868,0.78,1,3,38.8,142836,Namtum Makers,1060,Amazing Wooden House Build From Start to Finish in the USA @nikospropertyshow,firme,38.8,142836,2026-06-08
imamttae7280,https://www.youtube.com/@imamttae7280,0.8677,0.868,0,1,32.6,425599,TTI Build Stories ,1800000,Man Builds A Brick Oven In His Backyard ! ( By ‪@imamttae7280‬ ),débil,32.6,425599,2026-03-02
trucks_channel_razborgruz,https://www.youtube.com/@trucks_channel_razborgruz,0.865,0.865,0,2,177.8,411359,Techno Fusion HD,53100,This Man Bring a SCANIA 16L V8 Back to Life – Perfectly (by @trucks_channel_razborgruz ),débil,177.8,1533664,2025-07-20
growinginfrance,https://www.youtube.com/@growinginfrance,0.8638,0.773,1,5,19.5,129958,Smart Fox,85100,Couple Brings 150-Year-Old Abandoned French House Back to Life! by @growinginfrance,firme,19.5,756888,2026-05-18
lesnoy_offline3431,https://www.youtube.com/@lesnoy_offline3431,0.8634,0.863,0,6,9.4,2276318,Betelhem Tech,28000,Building a Wooden House in the Snow-Covered Mountains CreatingWarmth Alone By @lesnoy_offline3431,media,9.4,2276318,2026-08-09
Montana,https://www.youtube.com/@Montana,0.8623,0.862,0,1,1145.5,393489,Lynsey Windon,2200,A man and his family built a log cabin in Alaska@Montana Haven,débil,1145.5,393489,2025-12-14
