creator,url,status,p_next,why,creator_subs,creator_views_per_video,qm_videos,qm_best_outlier,qm_best_views,qm_best_title,distributors,dist_best_outlier,dist_best_reach,dist_best_channel,confirmations
Life_in_Vietnam,https://www.youtube.com/@Life_in_Vietnam,probado_ok,0.58,ya os funcionó — su catálogo es mina,88200,104784,1,3.43,10291505,Men Revive a 10-Year-Old Abandoned Farm in Just 150 Days | Start to Finish by @Life_in_Vietnam,1,7.1,120,Quantam Tech HD,0
clayhayeshunter,https://www.youtube.com/@clayhayeshunter,probado_ok,0.58,ya os funcionó — su catálogo es mina,979000,380694,2,3.4,10217930,Man Makes the BEST Survival Bow Using Only Two Wood Branches | ASMR by @clayhayeshunter,0,,,,0
ExodeRenovation,https://www.youtube.com/@ExodeRenovation,probado_ok,0.58,ya os funcionó — su catálogo es mina,,,1,3.4,10211666,Family Buys MASSIVE Old House and Renovates it Back to New in 2 Years by @ExodeRenovation,0,,,,0
alangomezcraft,https://www.youtube.com/@alangomezcraft,probado_ok,0.58,ya os funcionó — su catálogo es mina,25900,164622,1,3.38,10143083,Man Builds Real-Life SHIPS at Scale to the Last Detail | Hyperrealistic Replicas by @alangomezcraft,2,2.4,70,The Building Zone,0
Hoa-Mechanical,https://www.youtube.com/@Hoa-Mechanical,probado_ok,0.58,ya os funcionó — su catálogo es mina,390000,450198,1,3.34,10011335,Young Woman Turns ABANDONED BUS into a CAFE on Wheels | Start To Finish By @Hoa-Mechanical,1,1.7,415,Q Makers,0
yudaikawase,https://www.youtube.com/@yudaikawase,probado_ok,0.58,ya os funcionó — su catálogo es mina,191000,145503,1,3.22,9666321,Man Turns Old Pickup Truck into STUNNING DIY CAMPER | Start to Finish by @yudaikawase,7,221.7,1602740,KLIFS TECH,1
landonsees7739,https://www.youtube.com/@landonsees7739,probado_ok,0.58,ya os funcionó — su catálogo es mina,6180,12551,1,3.18,9544872,"Man Spends 2 YEARS Building Tiny MANSION with 10,000 POPSICLE STICKS | by @landonsees7739",1,0.9,26,The Building Zone,0
choigotv001,https://www.youtube.com/@choigotv001,probado_ok,0.58,ya os funcionó — su catálogo es mina,143000,213309,1,3.18,9531158,Man Builds Amazing DIY Container Home | Low-Cost Housing | @choigotv001,5,21.1,275704,TTI Build Stories ,1
HomeBuiltByJeff,https://www.youtube.com/@HomeBuiltByJeff,probado_ok,0.58,ya os funcionó — su catálogo es mina,229000,44106,1,3.16,9495988,Man Builds a FERRARI From an Abandoned CLASSIC | Start to Finish by @HomeBuiltByJeff,2,0.8,611,10 Royal Tech,0
luxonbushcraft,https://www.youtube.com/@luxonbushcraft,probado_ok,0.58,ya os funcionó — su catálogo es mina,721000,1238877,2,3.12,9356029,Man Builds A SECRET Cliff SHELTER Under HUGE Rock | Relaxing ASMR @luxonbushcraft,14,11.6,687162,MAKERS HD,3
